"state","puma5","msacmsa","pmsa","stab","msaname","pmsaname","pop2k","afact"
"06","02304","7362","7360","CA","San Francisco-Oakland-San Jose, CA (C)","San Francisco, CA (P)",114773,1 
"06","02305","7362","7360","CA","San Francisco-Oakland-San Jose, CA (C)","San Francisco, CA (P)",124010,1 
"06","02306","7362","7360","CA","San Francisco-Oakland-San Jose, CA (C)","San Francisco, CA (P)",114833,1 
"06","02401","7362","5775","CA","San Francisco-Oakland-San Jose, CA (C)","Oakland, CA (P)",119187,1 
"06","02402","7362","5775","CA","San Francisco-Oakland-San Jose, CA (C)","Oakland, CA (P)",157015,1 
"06","02403","7362","5775","CA","San Francisco-Oakland-San Jose, CA (C)","Oakland, CA (P)",125518,1 
"06","02404","7362","5775","CA","San Francisco-Oakland-San Jose, CA (C)","Oakland, CA (P)",131451,1 
"06","02405","7362","5775","CA","San Francisco-Oakland-San Jose, CA (C)","Oakland, CA (P)",156293,1 
"06","02406","7362","5775","CA","San Francisco-Oakland-San Jose, CA (C)","Oakland, CA (P)",130433,1 
"06","02407","7362","5775","CA","San Francisco-Oakland-San Jose, CA (C)","Oakland, CA (P)",140428,1 
"06","02408","7362","5775","CA","San Francisco-Oakland-San Jose, CA (C)","Oakland, CA (P)",130230,1 
"06","02409","7362","5775","CA","San Francisco-Oakland-San Jose, CA (C)","Oakland, CA (P)",181534,1 
"06","02410","7362","5775","CA","San Francisco-Oakland-San Jose, CA (C)","Oakland, CA (P)",171652,1 
"06","02500","5170"," ","CA","Modesto, CA"," ",188856,1 
"06","02601","5170"," ","CA","Modesto, CA"," ",138237,1 
"06","02602","5170"," ","CA","Modesto, CA"," ",119904,1 
"06","02701","7362","7400","CA","San Francisco-Oakland-San Jose, CA (C)","San Jose, CA (P)",184797,1 
"06","02702","7362","7400","CA","San Francisco-Oakland-San Jose, CA (C)","San Jose, CA (P)",135615,1 
"06","02703","7362","7400","CA","San Francisco-Oakland-San Jose, CA (C)","San Jose, CA (P)",108439,1 
"06","02704","7362","7400","CA","San Francisco-Oakland-San Jose, CA (C)","San Jose, CA (P)",123403,1 
"06","02705","7362","7400","CA","San Francisco-Oakland-San Jose, CA (C)","San Jose, CA (P)",104767,1 
"06","02706","7362","7400","CA","San Francisco-Oakland-San Jose, CA (C)","San Jose, CA (P)",102115,1 
"06","02707","7362","7400","CA","San Francisco-Oakland-San Jose, CA (C)","San Jose, CA (P)",126866,1 
"06","02708","7362","7400","CA","San Francisco-Oakland-San Jose, CA (C)","San Jose, CA (P)",126838,1 
"06","02709","7362","7400","CA","San Francisco-Oakland-San Jose, CA (C)","San Jose, CA (P)",116043,1 
"06","02710","7362","7400","CA","San Francisco-Oakland-San Jose, CA (C)","San Jose, CA (P)",143990,1 
"06","02711","7362","7400","CA","San Francisco-Oakland-San Jose, CA (C)","San Jose, CA (P)",100883,1 
"06","02712","7362","7400","CA","San Francisco-Oakland-San Jose, CA (C)","San Jose, CA (P)",103304,1 
"06","02713","7362","7400","CA","San Francisco-Oakland-San Jose, CA (C)","San Jose, CA (P)",105055,1 
"06","02714","7362","7400","CA","San Francisco-Oakland-San Jose, CA (C)","San Jose, CA (P)",100470,1 
"06","02801","7362","7485","CA","San Francisco-Oakland-San Jose, CA (C)","Santa Cruz-Watsonville, CA (P)",122562,1 
"06","02802","7362","7485","CA","San Francisco-Oakland-San Jose, CA (C)","Santa Cruz-Watsonville, CA (P)",133040,1 
"06","02900","7120"," ","CA","Salinas, CA"," ",151060,1 
"06","03001","7120"," ","CA","Salinas, CA"," ",130206,1 
"06","03002","7120"," ","CA","Salinas, CA"," ",120496,0.694 
"06","03002","9999"," ","CA","Non-metro"," ",53234,0.306 
"06","03100","4940"," ","CA","Merced, CA"," ",210554,1 
"06","03200","2840"," ","CA","Fresno, CA"," ",123109,1 
"06","03301","2840"," ","CA","Fresno, CA"," ",296056,1 
"06","03302","2840"," ","CA","Fresno, CA"," ",131596,1 
"06","03401","2840"," ","CA","Fresno, CA"," ",139883,1 
"06","03402","2840"," ","CA","Fresno, CA"," ",231872,1 
"06","03501","8780"," ","CA","Visalia-Tulare-Porterville, CA"," ",105125,1 
"06","03502","8780"," ","CA","Visalia-Tulare-Porterville, CA"," ",119014,1 
