GEO.id,GEO.id2,GEO.display-label,VD01,VD02,VD03,VD04,VD05,VD06,VD07,VD08,VD09,VD10,VD11,VD12,VD13,VD14,VD15,VD16,VD17,VD18,VD19,VD20,VD21,VD22,VD23,VD24,VD25,VD26,VD27,VD28,VD29,VD30,VD31,VD32,VD33,VD34,VD35
Id,Id2,Geography,Total:,Male:,Male: - No schooling completed,Male: - Nursery to 4th grade,Male: - 5th and 6th grade,Male: - 7th and 8th grade,Male: - 9th grade,Male: - 10th grade,Male: - 11th grade,"Male: - 12th grade, no diploma",Male: - High school graduate (includes equivalency),"Male: - Some college, less than 1 year","Male: - Some college, 1 or more years, no degree",Male: - Associate degree,Male: - Bachelor's degree,Male: - Master's degree,Male: - Professional school degree,Male: - Doctorate degree,Female:,Female: - No schooling completed,Female: - Nursery to 4th grade,Female: - 5th and 6th grade,Female: - 7th and 8th grade,Female: - 9th grade,Female: - 10th grade,Female: - 11th grade,"Female: - 12th grade, no diploma",Female: - High school graduate (includes equivalency),"Female: - Some college, less than 1 year","Female: - Some college, 1 or more years, no degree",Female: - Associate degree,Female: - Bachelor's degree,Female: - Master's degree,Female: - Professional school degree,Female: - Doctorate degree
3800000US3620,3620,"Janesville--Beloit, WI MSA",98770,47317,190,174,509,1485,1178,1425,1399,1639,18766,3471,6315,2823,5289,1678,724,252,51453,317,134,349,1360,919,1437,1787,1585,20015,4407,6811,3796,5871,2074,452,139
3800000US3660,3660,"Johnson City--Kingsport--Bristol, TN--VA MSA",336062,158907,1787,1959,3862,12070,5832,7001,5497,5006,51266,10012,19237,7064,18177,5645,2665,1827,177155,1592,1835,4163,13801,6691,7404,6040,5119,59205,12202,21323,10297,18429,6583,1715,756
3800000US3680,3680,"Johnstown, PA MSA",162736,78106,751,200,655,4409,2111,3364,2365,2387,38114,3557,5886,3781,6807,2249,1082,388,84630,594,240,827,5305,2045,3670,2479,2500,40625,4524,6407,5254,6774,2333,942,111
3800000US3700,3700,"Jonesboro, AR MSA",50725,23829,351,234,428,1174,747,748,748,833,7745,1418,3491,583,3419,918,530,462,26896,265,299,505,1508,921,1002,859,893,8870,1722,3547,1210,3338,1534,237,186
3800000US3710,3710,"Joplin, MO MSA",100417,47428,303,188,499,2015,1327,1850,1917,1656,16124,3897,7039,2260,5519,1560,921,353,52989,245,130,451,2309,1702,2006,2219,1671,19068,4756,7523,2826,5506,1987,457,133
3800000US3720,3720,"Kalamazoo--Battle Creek, MI MSA",284052,134813,1076,474,1101,3415,2763,4031,3795,3944,40606,11418,20131,8524,20515,8007,2574,2439,149239,904,472,857,3462,2963,4505,4179,3779,46662,13771,22256,12333,21216,9605,1496,779
3800000US3760,3760,"Kansas City, MO--KS MSA",1154262,548962,3345,1444,4375,12547,9502,12330,13296,17484,150068,40757,86528,28816,109990,37474,15514,5492,605300,2947,1168,3795,14527,10598,14700,14346,16881,177979,55716,93686,38433,108732,40401,8742,2649
3800000US3810,3810,"Killeen--Temple, TX MSA",179194,86480,979,553,1136,2012,1416,1738,1884,2059,24117,8772,17677,7805,10512,3498,1906,416,92714,1202,483,1428,2972,1904,2981,2707,3510,27000,9028,15887,7564,11458,3557,786,247
3800000US3840,3840,"Knoxville, TN MSA",463341,218216,1721,1606,3234,10245,5881,7236,6907,7417,64293,12731,29696,10493,34831,12646,4909,4370,245125,1944,1328,3422,12764,7010,8642,8038,7172,76938,17856,33852,14180,33474,13505,3367,1633
3800000US3850,3850,"Kokomo, IN MSA",67469,31820,187,176,248,1067,694,963,797,1042,12202,2351,4025,1870,3772,1658,500,268,35649,127,37,263,1525,895,1183,1034,977,14586,2869,4613,2175,3454,1577,252,82
